Customer,InvoiceDay,Count
1,2011-11-08,1
1,2011-11-21,1
1,2011-12-07,1
365,2011-03-16,1
365,2011-06-09,1
365,2011-10-30,1
365,2011-11-20,1
155,2010-12-09,1
155,2010-12-17,1
155,2011-02-14,1
155,2011-02-21,1
155,2011-03-25,1
155,2011-04-27,1
155,2011-05-09,1
155,2011-05-12,2
155,2011-05-23,1
155,2011-06-16,2
155,2011-07-15,1
155,2011-08-23,1
155,2011-08-31,1
155,2011-09-19,2
155,2011-10-18,1
155,2011-11-16,1
155,2011-12-08,1
282,2011-01-17,1
282,2011-01-27,1
282,2011-06-30,1
282,2011-07-21,1
282,2011-08-04,1
282,2011-08-19,1
282,2011-10-06,1
282,2011-10-27,1
282,2011-11-16,1
424,2011-07-22,1
424,2011-08-02,1
424,2011-08-22,1
424,2011-08-23,1
424,2011-09-04,1
424,2011-10-06,1
424,2011-11-29,1
290,2011-01-20,1
290,2011-03-21,2
290,2011-04-14,1
290,2011-07-05,1
290,2011-09-07,1
290,2011-09-09,1
290,2011-10-03,1
15,2010-12-01,1
15,2011-02-03,1
15,2011-03-08,1
15,2011-04-14,1
15,2011-06-05,1
15,2011-07-19,1
15,2011-08-24,1
15,2011-10-18,1
15,2011-11-16,2
15,2011-12-09,1
115,2010-12-07,1
115,2010-12-20,1
115,2011-01-05,1
115,2011-01-10,1
115,2011-01-19,1
115,2011-01-31,1
115,2011-03-13,1
115,2011-03-15,1
115,2011-03-22,1
115,2011-04-17,1
115,2011-05-13,1
115,2011-05-25,1
115,2011-06-05,1
115,2011-07-08,1
115,2011-07-11,1
115,2011-09-23,1
115,2011-10-27,2
115,2011-11-09,1
115,2011-11-17,2
115,2011-11-25,1
52,2010-12-03,1
52,2010-12-09,1
52,2011-01-05,1
52,2011-02-01,1
52,2011-02-02,1
52,2011-03-14,1
52,2011-04-04,1
52,2011-05-13,1
52,2011-05-16,1
52,2011-05-22,1
52,2011-05-31,1
52,2011-06-15,2
52,2011-07-04,1
52,2011-07-12,2
52,2011-07-19,1
52,2011-08-12,1
52,2011-08-25,1
52,2011-08-31,1
52,2011-09-15,1
52,2011-09-19,1
52,2011-10-10,2
52,2011-11-01,1
52,2011-11-10,2
52,2011-11-18,1
52,2011-11-25,1
52,2011-11-30,1
52,2011-12-06,1
156,2010-12-09,2
156,2011-01-17,1
156,2011-03-01,1
156,2011-03-23,2
156,2011-05-03,2
156,2011-05-12,1
156,2011-06-08,1
156,2011-08-26,1
156,2011-09-08,1
156,2011-10-20,1
156,2011-12-05,2
401,2011-05-08,1
401,2011-07-06,1
401,2011-10-05,1
401,2011-12-02,1
232,2010-12-17,1
232,2011-04-08,1
232,2011-05-22,1
232,2011-07-04,1
232,2011-09-23,1
232,2011-10-28,1
232,2011-11-22,1
232,2011-11-24,2
128,2010-12-08,1
128,2010-12-17,1
128,2011-01-25,1
128,2011-03-01,1
128,2011-03-30,1
128,2011-04-14,1
128,2011-05-06,1
128,2011-06-02,1
128,2011-07-14,1
128,2011-07-27,1
128,2011-09-04,1
128,2011-09-29,1
128,2011-10-12,1
128,2011-10-27,1
128,2011-11-24,1
335,2011-02-18,1
335,2011-05-17,1
335,2011-06-13,1
335,2011-08-25,1
335,2011-11-30,1
87,2010-12-05,1
87,2010-12-17,1
87,2011-01-31,1
87,2011-02-09,1
87,2011-03-22,1
87,2011-04-11,1
87,2011-05-04,2
87,2011-05-26,1
87,2011-05-31,1
87,2011-06-23,1
87,2011-07-12,2
87,2011-08-03,1
87,2011-08-07,1
87,2011-09-06,2
87,2011-09-20,1
87,2011-10-05,1
87,2011-10-18,1
87,2011-10-31,1
87,2011-11-16,1
87,2011-11-24,2
87,2011-12-07,1
173,2010-12-10,1
173,2011-01-31,1
173,2011-03-31,2
173,2011-04-01,1
173,2011-05-11,1
173,2011-06-17,1
173,2011-07-18,1
173,2011-09-15,1
173,2011-09-30,1
173,2011-10-19,1
173,2011-11-16,1
298,2011-01-25,1
298,2011-04-04,2
298,2011-04-05,1
298,2011-07-18,1
298,2011-10-14,1
298,2011-10-19,1
14,2010-12-01,1
14,2010-12-02,1
14,2010-12-05,6
14,2010-12-06,2
14,2010-12-07,1
14,2010-12-08,3
14,2010-12-09,3
14,2010-12-10,6
14,2010-12-13,2
14,2010-12-14,1
14,2010-12-16,3
14,2010-12-17,2
14,2010-12-21,1
14,2010-12-23,3
14,2011-01-05,2
14,2011-01-16,1
14,2011-01-18,1
14,2011-02-17,1
14,2011-02-22,1
14,2011-02-23,1
14,2011-02-27,1
14,2011-02-28,1
14,2011-03-08,1
14,2011-03-11,4
14,2011-03-18,1
14,2011-03-21,1
14,2011-03-24,1
14,2011-03-25,4
14,2011-04-01,2
14,2011-04-08,1
14,2011-04-17,1
14,2011-04-28,2
14,2011-05-01,1
14,2011-05-05,1
14,2011-05-06,11
14,2011-05-08,2
14,2011-05-10,1
14,2011-05-11,2
14,2011-05-12,3
14,2011-05-27,2
14,2011-05-31,1
14,2011-06-06,1
14,2011-06-07,2
14,2011-06-08,2
14,2011-06-10,1
14,2011-06-15,2
14,2011-06-17,1
14,2011-06-21,2
14,2011-06-22,1
14,2011-06-23,2
14,2011-06-28,1
14,2011-06-30,1
14,2011-07-01,4
14,2011-07-03,1
14,2011-07-08,1
14,2011-07-11,1
14,2011-07-14,1
14,2011-07-18,1
14,2011-07-21,1
14,2011-07-28,1
14,2011-07-29,1
14,2011-07-31,1
14,2011-08-03,1
14,2011-08-04,1
14,2011-08-05,1
14,2011-08-07,2
14,2011-08-17,1
14,2011-08-24,1
14,2011-08-25,4
14,2011-08-30,1
14,2011-09-02,2
14,2011-09-06,1
14,2011-09-07,1
14,2011-09-09,1
14,2011-09-11,1
14,2011-09-15,1
14,2011-09-16,1
14,2011-09-26,1
14,2011-09-27,1
14,2011-09-28,1
14,2011-09-30,2
14,2011-10-05,1
14,2011-10-06,3
14,2011-10-07,1
14,2011-10-09,1
14,2011-10-10,1
14,2011-10-19,1
14,2011-10-23,3
14,2011-10-25,1
14,2011-10-26,4
14,2011-11-01,1
14,2011-11-02,1
14,2011-11-04,2
14,2011-11-06,1
14,2011-11-07,2
14,2011-11-08,1
14,2011-11-10,2
14,2011-11-11,2
14,2011-11-15,2
14,2011-11-16,4
14,2011-11-17,1
14,2011-11-18,1
14,2011-11-22,1
14,2011-11-23,12
14,2011-11-24,3
14,2011-11-25,3
14,2011-11-28,1
14,2011-11-29,5
14,2011-12-01,1
14,2011-12-02,1
14,2011-12-04,2
14,2011-12-05,1
14,2011-12-08,3
14,2011-12-09,1
404,2011-05-12,2
404,2011-05-23,3
404,2011-06-07,1
404,2011-07-20,1
404,2011-10-06,2
404,2011-10-19,1
404,2011-11-11,1
404,2011-11-14,1
404,2011-11-24,1
146,2010-12-08,1
146,2011-01-09,1
146,2011-02-21,1
146,2011-04-13,1
146,2011-07-13,1
146,2011-10-13,1
146,2011-12-06,1
122,2010-12-07,1
122,2010-12-17,1
122,2011-02-25,1
122,2011-05-25,1
122,2011-06-09,1
122,2011-07-05,1
122,2011-07-29,1
122,2011-08-18,1
122,2011-09-08,1
122,2011-09-29,1
122,2011-10-27,1
122,2011-11-15,1
122,2011-11-28,1
122,2011-12-07,1
47,2010-12-03,1
47,2010-12-05,1
47,2011-01-06,1
47,2011-01-19,1
47,2011-01-31,1
47,2011-02-10,1
47,2011-02-16,1
47,2011-02-25,1
47,2011-03-07,1
47,2011-03-27,1
47,2011-04-14,1
47,2011-05-01,1
47,2011-06-12,1
47,2011-07-03,1
47,2011-07-17,1
47,2011-08-03,1
47,2011-08-25,1
47,2011-09-11,1
47,2011-10-05,1
47,2011-10-19,1
47,2011-10-27,1
47,2011-11-17,1
47,2011-11-25,1
47,2011-12-05,2
439,2011-10-07,1
439,2011-10-14,1
439,2011-10-31,1
439,2011-11-11,1
439,2011-11-21,1
439,2011-12-02,1
210,2010-12-14,1
210,2011-02-14,1
210,2011-03-21,1
210,2011-05-09,1
210,2011-06-27,1
210,2011-09-04,1
210,2011-11-13,1
20,2010-12-01,1
20,2010-12-08,1
20,2011-01-05,1
20,2011-02-11,1
20,2011-02-25,2
20,2011-02-28,1
20,2011-03-20,2
20,2011-05-06,2
20,2011-05-11,2
20,2011-06-08,2
20,2011-07-04,2
20,2011-07-06,2
20,2011-07-29,2
20,2011-08-01,1
20,2011-09-02,2
20,2011-09-14,1
20,2011-09-15,1
20,2011-09-16,1
20,2011-10-24,3
20,2011-11-09,3
20,2011-11-21,1
20,2011-11-24,1
20,2011-11-30,2
382,2011-04-01,1
382,2011-05-17,2
382,2011-08-01,3
382,2011-08-17,1
382,2011-11-09,1
240,2011-01-04,1
240,2011-03-28,1
240,2011-05-19,1
240,2011-06-06,1
240,2011-09-29,2
240,2011-11-14,1
240,2011-11-30,1
41,2010-12-02,1
41,2010-12-07,1
41,2010-12-08,1
41,2010-12-17,1
41,2010-12-21,1
41,2011-01-06,1
41,2011-01-09,1
41,2011-01-11,1
41,2011-01-12,1
41,2011-01-25,1
41,2011-01-26,1
41,2011-02-03,1
41,2011-02-09,1
41,2011-02-15,1
41,2011-02-17,2
41,2011-02-24,1
41,2011-03-01,1
41,2011-03-09,2
41,2011-03-11,1
41,2011-03-16,2
41,2011-03-24,1
41,2011-03-28,2
41,2011-03-30,1
41,2011-04-04,1
41,2011-04-13,1
41,2011-04-17,1
41,2011-04-20,2
41,2011-04-21,1
41,2011-05-05,1
41,2011-05-10,1
41,2011-05-19,1
41,2011-05-22,1
41,2011-05-27,2
41,2011-06-02,2
41,2011-06-16,1
41,2011-06-20,1
41,2011-06-21,1
41,2011-06-24,1
41,2011-07-05,1
41,2011-07-07,2
41,2011-07-15,4
41,2011-07-19,1
41,2011-07-21,1
41,2011-07-27,1
41,2011-07-29,1
41,2011-08-04,1
41,2011-08-05,1
41,2011-08-17,1
41,2011-08-21,1
41,2011-08-24,1
41,2011-09-01,2
41,2011-09-08,1
41,2011-09-14,2
41,2011-09-27,1
41,2011-10-03,1
41,2011-10-05,1
41,2011-10-19,1
41,2011-10-30,1
41,2011-11-04,1
41,2011-11-08,1
41,2011-11-09,3
41,2011-11-14,1
41,2011-11-16,1
41,2011-11-17,1
41,2011-11-20,1
41,2011-11-22,1
41,2011-11-24,1
41,2011-11-28,1
41,2011-11-29,1
41,2011-12-01,1
41,2011-12-06,1
284,2011-01-17,1
284,2011-01-25,1
284,2011-02-16,1
284,2011-02-25,1
284,2011-03-07,1
284,2011-03-20,1
284,2011-03-30,1
284,2011-04-14,1
284,2011-05-06,1
284,2011-06-08,1
284,2011-07-04,1
284,2011-11-17,1
284,2011-12-05,1
227,2010-12-17,1
227,2011-01-10,1
227,2011-01-27,1
227,2011-02-15,1
227,2011-02-28,1
227,2011-04-04,1
227,2011-05-09,1
227,2011-06-09,1
227,2011-06-16,1
227,2011-06-24,1
227,2011-07-29,1
227,2011-08-17,1
227,2011-09-23,1
227,2011-10-07,2
227,2011-11-04,1
227,2011-11-13,1
227,2011-11-28,1
51,2010-12-03,2
51,2011-04-05,1
51,2011-05-11,1
51,2011-07-08,1
51,2011-07-28,1
51,2011-08-08,1
51,2011-08-24,1
51,2011-09-08,1
51,2011-10-06,1
51,2011-11-04,1
51,2011-11-18,1
51,2011-12-08,1
333,2011-02-17,1
333,2011-02-24,1
333,2011-03-21,1
333,2011-04-05,1
333,2011-04-17,2
333,2011-04-27,1
333,2011-05-13,2
333,2011-05-16,1
333,2011-05-27,1
333,2011-06-13,1
333,2011-07-08,2
333,2011-07-31,2
333,2011-08-09,1
333,2011-09-08,1
333,2011-09-15,2
333,2011-09-28,1
333,2011-10-06,1
333,2011-11-09,2
333,2011-11-13,3
333,2011-11-23,1
127,2010-12-08,1
127,2010-12-14,1
127,2010-12-16,1
127,2010-12-20,1
127,2011-01-23,1
127,2011-02-04,1
127,2011-02-08,1
127,2011-03-22,1
127,2011-05-19,1
127,2011-06-07,1
127,2011-07-14,1
127,2011-08-10,1
127,2011-08-25,1
127,2011-10-14,1
127,2011-10-25,1
127,2011-11-18,1
127,2011-11-25,1
62,2010-12-05,2
62,2010-12-13,2
62,2011-01-09,1
62,2011-02-04,1
62,2011-03-24,1
62,2011-04-14,2
62,2011-04-18,1
62,2011-05-08,1
62,2011-05-11,1
62,2011-05-25,1
62,2011-06-01,1
62,2011-06-03,1
62,2011-06-12,1
62,2011-07-12,1
62,2011-08-04,1
62,2011-08-12,1
62,2011-09-01,1
62,2011-10-17,2
62,2011-11-25,1
62,2011-12-09,1
125,2010-12-08,1
125,2010-12-15,1
125,2011-01-11,1
125,2011-01-27,1
125,2011-02-16,1
125,2011-03-09,1
125,2011-03-30,1
125,2011-04-08,1
125,2011-04-27,1
125,2011-05-23,1
125,2011-06-12,1
125,2011-06-29,1
125,2011-07-22,1
125,2011-08-15,1
125,2011-08-25,1
125,2011-09-14,1
125,2011-09-18,1
125,2011-10-06,2
125,2011-10-12,1
125,2011-10-19,1
125,2011-11-07,1
125,2011-11-15,1
125,2011-11-23,1
125,2011-11-29,1
125,2011-12-06,1
56,2010-12-03,2
56,2011-01-06,1
56,2011-02-24,2
56,2011-03-21,1
56,2011-05-06,1
56,2011-07-19,1
56,2011-11-04,1
56,2011-11-10,1
56,2011-11-28,1
58,2010-12-05,1
58,2010-12-06,2
58,2010-12-13,2
58,2010-12-15,1
58,2010-12-16,2
58,2011-01-05,2
58,2011-01-06,1
58,2011-01-13,1
58,2011-01-17,1
58,2011-01-26,1
58,2011-01-27,1
58,2011-01-28,1
58,2011-01-31,2
58,2011-02-02,1
58,2011-02-14,1
58,2011-02-16,3
58,2011-02-23,1
58,2011-03-08,2
58,2011-03-16,1
58,2011-03-24,2
58,2011-03-31,1
58,2011-04-05,1
58,2011-04-07,1
58,2011-04-11,1
58,2011-04-12,2
58,2011-04-14,1
58,2011-04-17,2
58,2011-04-27,1
58,2011-05-03,2
58,2011-05-06,1
58,2011-05-11,2
58,2011-05-13,4
58,2011-05-16,1
58,2011-05-24,2
58,2011-06-05,1
58,2011-06-07,2
58,2011-06-19,1
58,2011-06-22,2
58,2011-07-06,1
58,2011-07-11,1
58,2011-07-13,1
58,2011-07-21,2
58,2011-07-29,1
58,2011-08-02,2
58,2011-08-15,2
58,2011-08-19,1
58,2011-08-31,1
58,2011-09-01,2
58,2011-09-20,1
58,2011-09-22,4
58,2011-09-25,1
58,2011-09-30,1
58,2011-10-06,3
58,2011-10-11,1
58,2011-10-19,2
58,2011-10-28,1
58,2011-10-30,1
58,2011-11-08,1
58,2011-11-14,1
58,2011-11-16,1
58,2011-11-17,1
58,2011-11-23,2
58,2011-11-28,1
58,2011-12-01,2
58,2011-12-05,1
58,2011-12-07,1
209,2010-12-14,1
209,2011-01-06,1
209,2011-02-20,1
209,2011-03-25,1
209,2011-04-20,1
209,2011-06-19,2
209,2011-08-09,1
209,2011-09-23,1
209,2011-11-07,1
301,2011-01-26,1
301,2011-02-08,1
301,2011-03-11,1
301,2011-04-04,1
301,2011-04-06,1
301,2011-05-10,1
301,2011-05-11,1
301,2011-05-25,1
301,2011-06-07,1
301,2011-06-16,1
301,2011-06-23,1
301,2011-07-05,1
301,2011-07-11,1
301,2011-07-21,1
301,2011-07-28,1
301,2011-08-04,1
301,2011-08-18,1
301,2011-09-06,1
301,2011-09-13,1
301,2011-10-10,2
301,2011-10-27,1
301,2011-11-10,1
301,2011-11-18,1
301,2011-11-30,1
301,2011-12-04,2
301,2011-12-08,1
158,2010-12-09,1
158,2010-12-14,1
158,2011-01-09,1
158,2011-01-11,1
158,2011-01-21,1
158,2011-02-03,1
158,2011-02-04,1
158,2011-03-10,2
158,2011-03-20,1
158,2011-04-07,2
158,2011-05-03,1
158,2011-05-25,2
158,2011-06-19,1
158,2011-07-08,1
158,2011-07-29,2
158,2011-09-19,1
158,2011-10-28,1
158,2011-11-16,1
158,2011-12-01,1
158,2011-12-08,1
145,2010-12-08,1
145,2011-01-12,1
145,2011-01-26,1
145,2011-02-04,1
145,2011-02-22,1
145,2011-03-04,1
145,2011-03-21,1
145,2011-03-30,1
145,2011-04-11,2
145,2011-04-18,1
145,2011-04-27,1
145,2011-05-03,1
145,2011-05-12,1
145,2011-05-22,1
145,2011-05-31,1
145,2011-06-17,1
145,2011-06-30,1
145,2011-08-09,1
145,2011-08-18,1
145,2011-10-09,1
145,2011-10-30,1
145,2011-11-25,1
145,2011-12-09,1
214,2010-12-15,1
214,2011-04-01,1
214,2011-09-11,1
321,2011-02-04,1
321,2011-04-01,1
321,2011-07-24,1
321,2011-08-28,1
321,2011-09-08,1
321,2011-10-30,1
321,2011-11-11,1
321,2011-11-29,1
176,2010-12-10,1
176,2011-01-30,3
176,2011-03-23,1
176,2011-04-21,1
176,2011-07-03,2
176,2011-07-29,2
176,2011-11-10,2
91,2010-12-05,1
91,2011-01-27,1
91,2011-11-23,1
205,2010-12-14,1
205,2011-02-17,1
205,2011-04-08,1
205,2011-05-09,1
205,2011-05-20,1
205,2011-06-21,1
205,2011-07-14,1
205,2011-07-29,1
205,2011-09-27,1
205,2011-11-04,1
205,2011-11-13,1
190,2010-12-13,1
190,2011-01-25,1
190,2011-04-04,1
190,2011-07-06,1
190,2011-08-11,1
190,2011-11-29,1
192,2010-12-13,1
192,2011-01-17,1
192,2011-04-26,1
192,2011-07-19,1
192,2011-08-03,1
192,2011-11-09,3
166,2010-12-09,1
166,2011-01-23,1
166,2011-02-03,1
166,2011-02-17,1
166,2011-03-02,1
166,2011-04-07,1
166,2011-04-14,1
166,2011-04-26,1
166,2011-05-22,1
166,2011-07-10,1
166,2011-07-24,2
166,2011-11-10,1
166,2011-12-05,1
388,2011-04-10,1
388,2011-05-15,1
388,2011-05-27,1
388,2011-06-12,1
388,2011-09-02,1
388,2011-11-13,1
388,2011-11-27,1
286,2011-01-18,1
286,2011-03-06,1
286,2011-03-14,1
286,2011-03-24,1
286,2011-03-29,1
286,2011-04-04,1
286,2011-04-19,1
286,2011-04-21,1
286,2011-04-26,1
286,2011-05-03,1
286,2011-05-12,2
286,2011-05-18,1
286,2011-05-25,1
286,2011-06-01,1
286,2011-06-16,2
286,2011-06-29,1
286,2011-07-06,1
286,2011-07-13,1
286,2011-08-04,1
286,2011-08-11,1
286,2011-08-23,1
286,2011-09-13,1
286,2011-09-30,1
286,2011-10-04,1
286,2011-10-11,1
286,2011-10-19,1
286,2011-10-20,1
286,2011-10-25,1
286,2011-10-27,1
286,2011-11-23,1
286,2011-11-28,1
286,2011-12-01,1
286,2011-12-08,1
126,2010-12-08,1
126,2010-12-14,1
126,2011-01-12,1
126,2011-03-09,3
126,2011-03-23,1
126,2011-04-21,1
126,2011-05-24,3
126,2011-07-04,2
126,2011-08-21,1
126,2011-09-08,1
126,2011-11-03,1
126,2011-11-10,1
126,2011-11-22,1
126,2011-12-07,1
367,2011-03-17,1
367,2011-03-30,1
367,2011-04-12,1
367,2011-05-04,1
367,2011-05-25,1
367,2011-06-23,1
367,2011-09-16,1
367,2011-11-01,1
367,2011-11-14,1
367,2011-11-22,2
70,2010-12-05,1
70,2010-12-13,1
70,2011-04-03,1
70,2011-04-20,1
70,2011-05-05,1
70,2011-06-13,1
70,2011-07-12,1
70,2011-08-22,1
70,2011-09-12,1
70,2011-10-04,2
70,2011-11-18,2
70,2011-11-28,1
70,2011-12-08,1
153,2010-12-09,2
153,2010-12-20,2
153,2011-01-04,1
153,2011-02-09,2
153,2011-03-14,2
153,2011-04-04,1
153,2011-05-16,1
153,2011-06-06,2
153,2011-06-23,1
153,2011-07-14,2
153,2011-07-28,1
153,2011-08-18,1
153,2011-09-09,1
153,2011-10-04,2
153,2011-11-10,3
153,2011-11-22,1
153,2011-12-04,1
324,2011-02-07,1
324,2011-06-02,1
324,2011-09-18,1
7,2010-12-01,1
7,2010-12-03,1
7,2010-12-13,1
7,2010-12-16,2
7,2011-01-06,1
7,2011-01-24,1
7,2011-01-31,1
7,2011-02-15,1
7,2011-03-07,1
7,2011-03-23,2
7,2011-03-27,1
7,2011-04-03,1
7,2011-04-13,3
7,2011-04-26,1
7,2011-04-28,1
7,2011-05-16,6
7,2011-06-02,1
7,2011-06-14,3
7,2011-06-26,2
7,2011-07-05,1
7,2011-07-12,1
7,2011-07-24,1
7,2011-08-03,3
7,2011-08-11,1
7,2011-08-22,1
7,2011-08-25,1
7,2011-09-01,1
7,2011-09-11,2
7,2011-09-14,1
7,2011-09-25,2
7,2011-10-04,2
7,2011-10-26,4
7,2011-11-03,1
7,2011-11-09,1
7,2011-11-16,1
7,2011-11-22,1
7,2011-11-23,1
7,2011-11-28,2
7,2011-12-01,1
7,2011-12-06,1
7,2011-12-08,1
28,2010-12-02,2
28,2010-12-10,1
28,2010-12-15,2
28,2011-04-01,1
28,2011-05-11,2
28,2011-05-19,1
28,2011-06-28,2
28,2011-07-06,2
28,2011-08-07,1
28,2011-09-02,1
28,2011-09-16,1
28,2011-10-10,1
28,2011-11-28,1
258,2011-01-09,1
258,2011-03-15,1
258,2011-05-12,1
258,2011-08-05,1
258,2011-11-13,1
213,2010-12-15,1
213,2011-01-06,1
213,2011-02-07,1
213,2011-02-25,1
213,2011-04-12,1
213,2011-05-09,1
213,2011-06-03,1
213,2011-06-23,1
213,2011-07-27,1
213,2011-09-01,1
213,2011-10-05,1
213,2011-10-27,1
213,2011-11-16,1
213,2011-12-02,1
21,2010-12-01,2
21,2010-12-06,1
21,2010-12-16,1
21,2011-01-11,1
21,2011-01-25,1
21,2011-02-02,1
21,2011-02-10,1
21,2011-02-24,1
21,2011-03-08,1
21,2011-03-10,1
21,2011-03-18,1
21,2011-03-25,1
21,2011-03-31,1
21,2011-04-01,1
21,2011-04-05,1
21,2011-04-15,1
21,2011-04-27,1
21,2011-05-08,1
21,2011-05-19,1
21,2011-05-22,1
21,2011-06-13,1
21,2011-07-06,1
21,2011-07-17,1
21,2011-07-28,1
21,2011-08-10,1
21,2011-08-24,1
21,2011-09-05,1
21,2011-09-08,1
21,2011-09-26,1
21,2011-10-05,1
21,2011-10-12,1
21,2011-11-01,1
21,2011-11-10,1
21,2011-11-21,1
21,2011-12-02,1
21,2011-12-08,1
447,2011-10-23,1
447,2011-11-18,1
447,2011-12-04,1
447,2011-12-08,1
118,2010-12-07,1
118,2011-01-12,1
118,2011-02-04,1
118,2011-03-24,1
118,2011-05-17,1
118,2011-05-27,1
118,2011-07-18,2
118,2011-08-11,1
118,2011-09-13,1
118,2011-09-28,1
118,2011-10-27,1
118,2011-11-22,1
395,2011-04-21,1
395,2011-05-31,1
395,2011-06-26,1
395,2011-09-28,1
453,2011-11-29,1
453,2011-12-04,1
453,2011-12-08,1
283,2011-01-17,1
283,2011-05-22,1
283,2011-08-14,1
283,2011-08-26,1
283,2011-09-11,2
283,2011-11-06,1
221,2010-12-16,2
221,2011-01-07,1
221,2011-01-26,2
221,2011-01-27,1
221,2011-02-08,2
221,2011-03-23,2
221,2011-04-13,1
221,2011-04-21,2
221,2011-05-13,2
221,2011-05-24,1
221,2011-06-06,1
221,2011-07-01,1
221,2011-07-28,1
221,2011-07-29,1
221,2011-08-24,1
221,2011-10-17,2
221,2011-11-07,1
221,2011-12-07,1
380,2011-03-31,1
380,2011-04-27,1
380,2011-05-31,1
380,2011-06-08,1
380,2011-07-20,1
380,2011-08-04,1
380,2011-09-08,1
380,2011-10-02,1
380,2011-10-26,1
380,2011-11-01,1
380,2011-11-13,1
380,2011-11-27,1
130,2010-12-08,2
130,2011-01-06,1
130,2011-03-01,1
130,2011-04-12,2
